instance,run,n,alg,test,initial_f,best_f,delta,delta_rel,time,valid_perm
Cebe.lop.n10.1,1,10,ILS,ils_suave,2096,2384,288,0.13740458015267176,0.181105,True
Cebe.lop.n10.1,2,10,ILS,ils_suave,1541,2384,843,0.5470473718364698,0.186901,True
Cebe.lop.n10.1,3,10,ILS,ils_suave,1428,2384,956,0.6694677871148459,0.297164,True
Cebe.lop.n10.1,1,10,ILS,ils_fuerte,2096,2384,288,0.13740458015267176,0.234349,True
Cebe.lop.n10.1,2,10,ILS,ils_fuerte,1541,2384,843,0.5470473718364698,0.215699,True
Cebe.lop.n10.1,3,10,ILS,ils_fuerte,1428,2384,956,0.6694677871148459,0.191246,True
Cebe.lop.n10.1,1,10,ILS,ils_fuerte_grande,2096,2384,288,0.13740458015267176,0.193171,True
Cebe.lop.n10.1,2,10,ILS,ils_fuerte_grande,1541,2384,843,0.5470473718364698,0.211332,True
Cebe.lop.n10.1,3,10,ILS,ils_fuerte_grande,1428,2384,956,0.6694677871148459,0.209794,True
Cebe.lop.n10.1,1,10,TABU,tabu_basico,2096,2360,264,0.12595419847328243,0.201557,True
Cebe.lop.n10.1,2,10,TABU,tabu_basico,1541,2384,843,0.5470473718364698,0.189631,True
Cebe.lop.n10.1,3,10,TABU,tabu_basico,1428,2383,955,0.6687675070028011,0.186958,True
Cebe.lop.n10.1,1,10,TABU,tabu_memorias,2096,2360,264,0.12595419847328243,0.204001,True
Cebe.lop.n10.1,2,10,TABU,tabu_memorias,1541,2384,843,0.5470473718364698,0.215263,True
Cebe.lop.n10.1,3,10,TABU,tabu_memorias,1428,2383,955,0.6687675070028011,0.234050,True
Cebe.lop.n10.1,1,10,TABU,tabu_memorias_grande,2096,2383,287,0.13692748091603055,0.206925,True
Cebe.lop.n10.1,2,10,TABU,tabu_memorias_grande,1541,2384,843,0.5470473718364698,0.203001,True
Cebe.lop.n10.1,3,10,TABU,tabu_memorias_grande,1428,2383,955,0.6687675070028011,0.198096,True
